Date,Price,Open,High,Low
6-Feb-13,5959.20,5988.05,5990.90,5953.15
7-Feb-13,5938.80,5936.45,5978.50,5927.60
8-Feb-13,5903.50,5929.10,5953.70,5883.65
11-Feb-13,5897.85,5920.05,5924.15,5879.10
12-Feb-13,5922.50,5894.35,5927.65,5886.45
13-Feb-13,5932.95,5943.15,5969.50,5922.95
14-Feb-13,5896.95,5933.20,5940.20,5884.55
15-Feb-13,5887.40,5869.95,5899.95,5853.90
18-Feb-13,5898.20,5888.65,5911.00,5878.45
19-Feb-13,5939.70,5900.20,5947.55,5883.15
20-Feb-13,5943.05,5966.30,5971.00,5937.55
21-Feb-13,5852.25,5909.65,5921.15,5844.40
22-Feb-13,5850.30,5837.95,5873.80,5835.80
25-Feb-13,5854.75,5870.55,5878.40,5825.00
26-Feb-13,5761.35,5838.30,5838.85,5748.60
27-Feb-13,5796.90,5784.90,5818.20,5749.70
28-Feb-13,5693.05,5834.35,5849.90,5671.90
1-Mar-13,5719.70,5702.45,5739.45,5679.90
4-Mar-13,5698.50,5704.70,5712.00,5663.60
5-Mar-13,5784.25,5722.45,5790.10,5722.40
6-Mar-13,5818.60,5816.40,5828.70,5795.05
7-Mar-13,5863.30,5801.30,5878.00,5801.30
8-Mar-13,5945.70,5883.65,5952.85,5883.00
11-Mar-13,5942.35,5946.10,5971.20,5930.35
12-Mar-13,5914.10,5944.60,5952.00,5893.65
13-Mar-13,5851.20,5884.80,5893.85,5842.25
14-Mar-13,5908.95,5845.95,5920.15,5791.75
15-Mar-13,5872.60,5914.90,5945.65,5861.00
18-Mar-13,5835.25,5816.75,5850.20,5814.35
19-Mar-13,5745.95,5859.50,5863.60,5724.30
20-Mar-13,5694.40,5740.55,5745.30,5682.30
21-Mar-13,5658.75,5705.90,5757.75,5647.95
22-Mar-13,5651.35,5659.80,5691.45,5631.80
25-Mar-13,5633.85,5707.30,5718.40,5624.40
26-Mar-13,5641.60,5613.75,5655.30,5612.05
28-Mar-13,5682.55,5647.75,5692.95,5604.85
1-Apr-13,5704.40,5697.35,5720.95,5675.90
2-Apr-13,5748.10,5701.70,5754.60,5687.15
3-Apr-13,5672.90,5740.20,5744.95,5650.10
4-Apr-13,5574.75,5640.65,5644.45,5565.65
5-Apr-13,5553.25,5568.10,5577.30,5534.70
8-Apr-13,5542.95,5550.50,5569.20,5537.05
9-Apr-13,5495.10,5568.75,5603.05,5487.00
10-Apr-13,5558.70,5536.25,5569.25,5477.20
11-Apr-13,5594.00,5601.65,5610.65,5542.85
12-Apr-13,5528.55,5520.70,5544.50,5494.90
15-Apr-13,5568.40,5508.50,5592.85,5500.30
16-Apr-13,5688.95,5562.45,5699.25,5555.85
17-Apr-13,5688.70,5708.65,5732.15,5669.00
18-Apr-13,5783.10,5682.70,5794.35,5681.85
22-Apr-13,5834.40,5789.85,5844.85,5789.80
23-Apr-13,5836.90,5843.10,5844.30,5791.55
25-Apr-13,5916.30,5856.10,5924.60,5853.30
26-Apr-13,5871.45,5899.75,5907.05,5860.50
